LAT,LON,DATE,PRECTOT
-4.96019,119.56881,6/11/2001,0.24
-4.96019,119.56881,6/12/2001,0.71
-4.96019,119.56881,6/13/2001,3.09
-4.96019,119.56881,6/14/2001,3.32
-4.96019,119.56881,6/15/2001,4.06
-4.96019,119.56881,6/16/2001,1.18
-4.96019,119.56881,6/17/2001,0.85
-4.96019,119.56881,6/18/2001,0.09
-4.96019,119.56881,6/19/2001,0.6
-4.96019,119.56881,6/20/2001,7.29
-4.96019,119.56881,6/21/2001,8.69
-4.96019,119.56881,6/22/2001,0.5
-4.96019,119.56881,6/23/2001,0.14
-4.96019,119.56881,6/24/2001,0.73
-4.96019,119.56881,6/25/2001,0.71
-4.96019,119.56881,6/26/2001,0.9
-4.96019,119.56881,6/27/2001,2.11
-4.96019,119.56881,6/28/2001,1.55
-4.96019,119.56881,6/29/2001,0.56
-4.96019,119.56881,6/30/2001,0.05
-4.96019,119.56881,7/1/2001,0.02
-4.96019,119.56881,7/2/2001,0.03
-4.96019,119.56881,7/3/2001,0.04
-4.96019,119.56881,7/4/2001,0.01
-4.96019,119.56881,7/5/2001,0
-4.96019,119.56881,7/6/2001,0
-4.96019,119.56881,7/7/2001,0.01
-4.96019,119.56881,7/8/2001,0.03
-4.96019,119.56881,7/9/2001,0
-4.96019,119.56881,7/10/2001,0.02
-4.96019,119.56881,7/11/2001,0.05
-4.96019,119.56881,7/12/2001,0.05
-4.96019,119.56881,7/13/2001,0.76
-4.96019,119.56881,7/14/2001,0.82
-4.96019,119.56881,7/15/2001,0.57
-4.96019,119.56881,7/16/2001,0.03
-4.96019,119.56881,7/17/2001,0.03
-4.96019,119.56881,7/18/2001,0.01
-4.96019,119.56881,7/19/2001,0.17
-4.96019,119.56881,7/20/2001,0.28
-4.96019,119.56881,7/21/2001,0.13
-4.96019,119.56881,7/22/2001,0.29
-4.96019,119.56881,7/23/2001,0.85
-4.96019,119.56881,7/24/2001,0.26
-4.96019,119.56881,7/25/2001,0.4
-4.96019,119.56881,7/26/2001,0.41
-4.96019,119.56881,7/27/2001,2.03
-4.96019,119.56881,7/28/2001,0.83
-4.96019,119.56881,7/29/2001,0.07
-4.96019,119.56881,7/30/2001,0.34
-4.96019,119.56881,7/31/2001,1.03
-4.96019,119.56881,8/1/2001,0.93
-4.96019,119.56881,8/2/2001,0.22
-4.96019,119.56881,8/3/2001,0.01
-4.96019,119.56881,8/4/2001,0.04
-4.96019,119.56881,8/5/2001,0.1
-4.96019,119.56881,8/6/2001,0.8
-4.96019,119.56881,8/7/2001,1.06
-4.96019,119.56881,8/8/2001,0.39
-4.96019,119.56881,8/9/2001,0.19
-4.96019,119.56881,8/10/2001,0
-4.96019,119.56881,8/11/2001,0
-4.96019,119.56881,8/12/2001,0
-4.96019,119.56881,8/13/2001,0
-4.96019,119.56881,8/14/2001,0
-4.96019,119.56881,8/15/2001,0
-4.96019,119.56881,8/16/2001,0
-4.96019,119.56881,8/17/2001,0
-4.96019,119.56881,8/18/2001,0
-4.96019,119.56881,8/19/2001,0
-4.96019,119.56881,8/20/2001,0
-4.96019,119.56881,8/21/2001,0
-4.96019,119.56881,8/22/2001,0
-4.96019,119.56881,8/23/2001,0
-4.96019,119.56881,8/24/2001,0
-4.96019,119.56881,8/25/2001,0
-4.96019,119.56881,8/26/2001,0
-4.96019,119.56881,8/27/2001,0
-4.96019,119.56881,8/28/2001,0.03
-4.96019,119.56881,8/29/2001,0
-4.96019,119.56881,8/30/2001,0
