LAT,LON,DATE,T2M,PRECTOT,RH2M
-4.96019,119.56881,9/15/2000,27.5,0.04,65.53
-4.96019,119.56881,9/16/2000,27.43,0.31,70
-4.96019,119.56881,9/17/2000,27.28,1.05,73.04
-4.96019,119.56881,9/18/2000,27.44,0.2,67.33
-4.96019,119.56881,9/19/2000,27.76,0.11,64.73
-4.96019,119.56881,9/20/2000,27.13,0.09,67.59
-4.96019,119.56881,9/21/2000,27.65,0.12,69.67
-4.96019,119.56881,9/22/2000,27.55,0.75,72.24
-4.96019,119.56881,9/23/2000,27.69,1.19,69.92
-4.96019,119.56881,9/24/2000,27.75,2.27,70.89
-4.96019,119.56881,9/25/2000,27.33,2.48,71.18
-4.96019,119.56881,9/26/2000,27.76,0.08,64.21
-4.96019,119.56881,9/27/2000,27.95,0.05,67.15
-4.96019,119.56881,9/28/2000,27.36,12.33,74.77
-4.96019,119.56881,9/29/2000,27.45,5.24,71.66
-4.96019,119.56881,9/30/2000,27.61,0.3,68.98
-4.96019,119.56881,10/1/2000,27.89,1.02,71.72
-4.96019,119.56881,10/2/2000,27.89,2.08,72.1
-4.96019,119.56881,10/3/2000,27.12,1.02,74.76
-4.96019,119.56881,10/4/2000,27.06,1.4,73.04
-4.96019,119.56881,10/5/2000,27.61,0.65,68.71
-4.96019,119.56881,10/6/2000,27.56,0.23,70.5
-4.96019,119.56881,10/7/2000,26.94,0.72,72.81
-4.96019,119.56881,10/8/2000,25.65,2.94,79.11
-4.96019,119.56881,10/9/2000,26.83,2.65,73.16
-4.96019,119.56881,10/10/2000,27.64,0.05,69.12
-4.96019,119.56881,10/11/2000,27.35,2.38,75.02
-4.96019,119.56881,10/12/2000,26.46,13.62,82.2
-4.96019,119.56881,10/13/2000,26.66,2.77,80.17
-4.96019,119.56881,10/14/2000,26.74,2.61,82.11
-4.96019,119.56881,10/15/2000,27.69,5.8,73.19
-4.96019,119.56881,10/16/2000,27.07,7.9,75.13
-4.96019,119.56881,10/17/2000,27.48,1.45,74.28
-4.96019,119.56881,10/18/2000,27.41,2.48,76.88
-4.96019,119.56881,10/19/2000,26.31,1.26,83.27
-4.96019,119.56881,10/20/2000,26.31,4.66,82.32
-4.96019,119.56881,10/21/2000,26.77,8.16,78.48
-4.96019,119.56881,10/22/2000,26.14,26.4,86.33
-4.96019,119.56881,10/23/2000,26.51,4.04,78.91
-4.96019,119.56881,10/24/2000,25.86,1.9,80.6
-4.96019,119.56881,10/25/2000,25.6,2.67,82.48
-4.96019,119.56881,10/26/2000,25.59,4.56,82.1
-4.96019,119.56881,10/27/2000,27.29,0.18,72.66
-4.96019,119.56881,10/28/2000,28.1,0.15,68.48
-4.96019,119.56881,10/29/2000,28.17,0.08,67.54
-4.96019,119.56881,10/30/2000,28.52,0.51,66.78
-4.96019,119.56881,10/31/2000,27.62,4.12,74.33
-4.96019,119.56881,11/1/2000,26.69,0.86,77.46
-4.96019,119.56881,11/2/2000,27.02,2.91,76.98
-4.96019,119.56881,11/3/2000,26.96,2.48,79.14
-4.96019,119.56881,11/4/2000,27.68,4.56,74.32
-4.96019,119.56881,11/5/2000,27.26,2.61,76.42
-4.96019,119.56881,11/6/2000,27.94,2.49,71.16
-4.96019,119.56881,11/7/2000,26.51,3.42,80.4
-4.96019,119.56881,11/8/2000,27.56,0.94,72.45
-4.96019,119.56881,11/9/2000,27.52,1.27,74.23
-4.96019,119.56881,11/10/2000,27.37,2.66,76.23
-4.96019,119.56881,11/11/2000,26.71,6.73,81.06
-4.96019,119.56881,11/12/2000,27.23,2.49,77.11
-4.96019,119.56881,11/13/2000,27.8,0.77,75.49
-4.96019,119.56881,11/14/2000,27.62,1.81,78.84
-4.96019,119.56881,11/15/2000,27.63,3.8,77.93
-4.96019,119.56881,11/16/2000,26.58,6.03,85.89
-4.96019,119.56881,11/17/2000,27.18,3.54,78.2
-4.96019,119.56881,11/18/2000,27.84,1.71,75.5
-4.96019,119.56881,11/19/2000,27.66,3.28,75.45
-4.96019,119.56881,11/20/2000,26.56,5.53,82.32
-4.96019,119.56881,11/21/2000,25.92,2.92,85.42
-4.96019,119.56881,11/22/2000,26.97,4.08,76.41
-4.96019,119.56881,11/23/2000,26.8,8.29,81.23
-4.96019,119.56881,11/24/2000,25.6,11.11,89.59
-4.96019,119.56881,11/25/2000,25.83,9.15,86.97
-4.96019,119.56881,11/26/2000,25.96,15.04,85.88
-4.96019,119.56881,11/27/2000,25.54,26.09,87.58
-4.96019,119.56881,11/28/2000,25.8,13.83,86.02
-4.96019,119.56881,11/29/2000,25.74,42.04,88.22
-4.96019,119.56881,11/30/2000,26.01,13.36,88.6
